"Tidak Baku","Baku","",""
"yticket","tiket","",""
"yuang","uang","",""
"yuk","ayo","",""
"yup","iya","",""
"ywdh","ya sudah","",""
"kl","kalau","",""
"bagusapabila","bagus apabila","",""
"fotoharga","foto harga","",""
"naek","naik","",""
"bangetapalagi","banget apalagi","",""
"kyak","seperti","",""
"spotspot ","spot","",""
"kna ","kena","",""
"manteman","teman","",""
"keciltp","kecil tapi","",""
"asyiiikkk","asyik","",""
"potokereeennnn","foto keren","",""
"keluargasayang ","keluarga sayang","",""
"bagusberasa","bagus","",""
"jujugan","kunjungan","",""
"dsn","dusun","",""
"buktikanklo","buktikan","",""
"daripda","daripada","",""
"sayaang","sayang","",""
"saitontakut","setan takut","",""
"unttuk","untuk","",""
"baikdikarenakan","baik karena","",""
"siatematik","sistematik","",""
"aa","iya","",""
"aamiinnn","aamiin","",""
"abiiizzz","abis","",""
"abiisss","abis","",""
"abiss","abis","",""
"yha","iya","",""
"yokkk","ayo","",""
"your","kamu","",""
"you","kamu","",""
"yeee","hore","",""
"yasoalnya","iya","",""
"access","akses","",""
"adakecuali","ada","",""
"access","akses","",""
"adeem","sejuk","",""
"adohada","aduhai","",""
"aduhaiiii","aduhai","",""
"adu","aduh","",""
"yutub","youtube","",""
"yahudd","hebat","",""
"yamg","yang","",""
"yauda","yasudah","",""
"yogya","yogyakarta","",""
"yak","ya","",""
"yabg","yah","",""
"yad","iya","",""
"yagk","yah","",""
"7an","tujuan","",""
"aampai","sampai","",""
"ababil","abg labil","",""
"abis","habis","",""
"abiz","habis","",""
"acc","accord","",""
"acnya","ac","",""
"acyg","ac yang","",""
"ad","ada","",""
"adad","ada","",""
"adatrs","adat","",""
"adlah","adalah","",""
"adlh","adalah","",""
"adoh","aduh","",""
"afaik","as far as I know","",""
"aha","tertawa","",""
"ahaha","haha","",""
"aing","saya","",""
"airnyamana","airnya mana","",""
"airx","air","",""
"aj","saja","",""
"aja","saja","",""
"ajax","saja","",""
"ajep ajep","dunia gemerlap","",""
"ajib","bagus","",""
"aji","saja","",""
"ajk","aja","",""
"ak","saya","",""
"aka","dikenal juga sebagai","",""
"akika","aku","",""
"akko","aku","",""
"akkoh","aku","",""
"akku","aku","",""
"aksesx","akses","",""
"akuwuh","aku","",""
"akyu","aku","",""
"ala","seperti","",""
"alay","norak","",""
"alm","almarhum","",""
"alon","alun","",""
"alow","halo","",""
"ama","sama","",""
"amajing","luar biasa","",""
"ambilin","ambalkan","",""
"ambl","ambil","",""
"ampe","sampai","",""
"anakanak","anak anak","",""
"ancur","hancur","",""
"andatiket","anda tiket","",""
"anjir","anjing","",""
"anjrit","anjing","",""
"ank","anak","",""
"anter","antar","",""
"ap","apa","",""
"ap2","apa apa","",""
"apaan","apa","",""
"apasih","apa sih","",""
"apaya","apa ya","",""
"ape","apa","",""
"apes","sial","",""
"apik","rapi","",""
"aplot","unggah","",""
"aps","apa","",""
"apva","apa","",""
"aq","saya","",""
"aqu","aku","",""
"aquwh","aku","",""
"areal","area","",""
"asap","segera mungkin","",""
"asbun","asal bunyi","",""
"aseck","asyik","",""
"asekk","asyik","",""
"asek","asyik","",""
"aseknya","asyiknya","",""
"asem","asam","",""
"aljasa","asal jadi saja","",""
"asikk","asyik","",""
"aslisemoga","asli semoga","",""
"asoy","asyik","",""
"aspal","asli tetapi palsu","",""
"asreh","asri","",""
"asseek","asik","",""
"astrojim","astagfirullahaladzim","",""
"astul","asal tulis","",""
"ath","kalau begitu","",""
"ato","atau","",""
"atuh","kalau begitu","",""
"au ah","tidak mau tahu","",""
"ava","avatar","",""
"awak","saya","",""
"awat","rawat","",""
"aws","awas","",""
"ay","sayang","",""
"ayang","sayang","",""
"ayank","sayang","",""
"ayok","ayo","",""
"b","biasa","",""
"b4","sebelum","",""
"baangeetttzz","banget","",""
"babilaut","babi laut","",""
"bacot","banyak bicara","",""
"bagakn","bagakan","",""
"baget","banget","",""
"bagis","bagus","",""
"bagos","bagus","",""
"bagud","bagus","",""
"bagusss","bagus","",""
"baguz","bagus","",""
"bakalan","akan","",""
"bales","balas","",""
"balinyya","balinya","",""
"banaget","banget","",""
"bandes","bantuan desa","",""
"bangdes","pembangunan desa","",""
"asik","asyik","",""
"banpol","bantuan polisi","",""
"banpres","bantuan presiden","",""
"banpur","bantuan tempur","",""
"bansarkas","bantuan sarana kesehatan","",""
"baper","bawa perasaan","",""
"basbang","basi","",""
"bazis","badan amal  zakat  infak dan sedekah","",""
"bbrp","beberapa","",""
"bcanda","bercanda","",""
"bcoz","karena","",""
"bdg","bandung","",""
"beb","sayang","",""
"bedah","beda","",""
"begajulan","nakal","",""
"bejibun","banyak","",""
"bekasbekas","bekas bekas","",""
"beliim","belikan","",""
"belom","belum","",""
"benarbener","benar benar","",""
"bencong","banci","",""
"bener","benar","",""
"benget","banget","",""
"beningtapi","bening tapi","",""
"bening","bening","",""
"bentar","sebentar","",""
"ber2","berdua","",""
"ber3","bertiga","",""
"berac","ber AC","",""
"berbadai","berbagi","",""
"berbedagili","berbeda gili","",""
"berdikari","berdiri di atas kaki sendiri","",""
"beresin","membereskan","",""
"bermail","bermain","",""
"bermalem","bermalam","",""
"bersahat","bersahabat","",""
"bersajerah","bersejarah","",""
"bersi","bersih","",""
"bangedh","banget","",""
"bangets","banget","",""
"bangkotan","tua","",""
"beti","beda tipis","",""
"bettol","betul","",""
"beud","banget","",""
"beut","banget","",""
"bg","abang","",""
"bgd","banget","",""
"bget","banget","",""
"bgmn","bagaimana","",""
"bgos","bagus","",""
"bgs","bagus","",""
"bgt","banget","",""
"bgtu","begitu","",""
"begus","bagus","",""
"bhubu","tidur","",""
"bijimane","bagaimana","",""
"bikinn","bikin","",""
"bilan","bila","",""
"bimbuh","bimbingan dan penyuluhan","",""
"bingit","banget","",""
"bintal","bimbingan mental","",""
"bis","bisa","",""
"bisi","kalau kalau","",""
"bkl","akan","",""
"bkn","bukan","",""
"bknnya","bukannya","",""
"bl","beli","",""
"blegug","bodoh","",""
"blg","bilang","",""
"blh","boleh","",""
"blm","belum","",""
"bnget","banget","",""
"bngt","banget","",""
"bngung","bingung","",""
"bnran","yang benar","",""
"bntar","bentar","",""
"bnyak","banyak","",""
"bnyk","banyak","",""
"bersihh","bersih","",""
"bet","banget","",""
"bete","bosan","",""
"bokin","pacar","",""
"bokis","bohong","",""
"bole","boleh","",""
"boljug","boleh juga","",""
"bolot","bodoh","",""
"bonek","bocah nekat","",""
"bonyok","ayah ibu","",""
"boyeh","boleh","",""
"bpk","bapak","",""
"br","baru","",""
"brb","segera kembali","",""
"brg","bareng","",""
"brgkt","berangkat","",""
"brlama","berlama","",""
"brngkt","berangkat","",""
"bro","saudara laki laki","",""
"brow","bro","",""
"brp","berapa","",""
"brteduh","berteduh","",""
"bru","baru","",""
"brur","saudara laki laki","",""
"bs","bisa","",""
"bsa","bisa","",""
"bsen","bosan","",""
"bsk","besok","",""
"bt","bosan sekali","",""
"btw","ngomong ngomong","",""
"bu bu","tidur","",""
"buagus","bagus","",""
"buak","buka","",""
"buanget","banget","",""
"boat","buat","",""
"buar","buat","",""
"buaxak","banyak","",""
"buaya","tidak setia","",""
"bubarin","bubarkan","",""
"bubbu","tidur","",""
"bodor","lucu","",""
"bohay","badan aduhai","",""
"bokap","ayah","",""
"bokep","video porno","",""
"boker","buang air besar","",""
"bumil","ibu hamil","",""
"buang","buang","",""
"buser","buru sergap","",""
"bw","bawa","",""
"bwhn","bawahan","",""
"bwt","buat","",""
"byar","bayar","",""
"byk","banyak","",""
"byr","bayar","",""
"byrin","bayarkan","",""
"c8","chat","",""
"cabal","sabar","",""
"cabut","pergi","",""
"cadas","keren","",""
