Hasil Ulasan,Label,Encoded Label
pantai luas pasir putih bersih jalanjalan kuda orang bayar ribubeli rujak ribu pop mie ribu,positif,1
sampah sampah banyakarea karang tandanamun perahu perhati nabrak karang susah gerak,negatif,-1
lokasi bagus pantai luas spot khas pohon cemaraa rindang sedia kamar mandi bersih kantin harga jangkau main,positif,1
pantai cantik bagus pohon cemara udang,positif,1
fasilitas jalan lokasi bagus,negatif,-1
pantai kotor bungkus makan instan popmie terap buang sampah semberangan minim unjung enak buang sampah pinggir pantai,negatif,-1
pantai ujung timur pulau madura ditumbuhin ribu cemara laut indah hampar pasir putih lembut jadi pantai layak jadi destinasi,positif,1
pantai bagus ombak wahana main kuda sewa pendopo jajan banyaktetep jaga bersih iya,positif,1
pantai indah catat moga management pantai,positif,1
pantai bilang bersih kunjung tengah minggu ramai nyaman kumpul keluarga,positif,1
kondisi pantai awat,negatif,-1
jalan wisata bagus mulus lalu lancar pantai awat bersih main pasir anak cocok harga tiket masuk pas weekend orang kena ribu wc nya bersih pantai cocok piknik pohon pinus jd adem,positif,1
pantai lokasi ujung timur pulang madura tepat kabupaten sumenep kota sumenep arah timur daya pantai indah hampar pasir putih merupaka,positif,1
bagus foto kuda makan pinggir pantai,positif,1
kota jalan jam an jalan kesana bagus lubangpantai luas bersih fasilitas,positif,1
pantai lombang kenal salah destinasi wisata pulau madura hampar pasir pantai luas lumayan bersih pohon cemara keliling pantai,positif,1
hutan cemara udang bikin sejuk rindang panas matahari terikteriknya siang,positif,1
fasilitas tunjang awat jalan rusak kamar mandi awat musala wudhu air mati,negatif,-1
ombak surfing,negatif,-1
pantai bersih ombak cenderung tenang saran season hindar padat unjung pohon cemara sewa kuda jalan jalan pinggir pantai kedaikedai jual,positif,1
sayang jalan lokasi rusak sampah sera awat moga depan kelola baik salah pilih wisata sumenep,negatif,-1
pantai awat kurang fasilitas,negatif,-1
suasana laut tenang hampar pasir putih hijau pohon cemara udang aman anak mandi,netral,0
pantai indah rekreasi warga kota sumenep pantai bersih jajah kuda pohon cemara udang jual bonsai cemara udang indah bawa pulang,positif,1
pantai pantai slopeng pantai asri sejuk nyaman hampar pasir putih pesona suara kicau burung angin laut milir ombak tarik pohon cemara udang indah,positif,1
bagus lumayan bersih air bersih parkir,positif,1
akses jalan pantai rusakk kurag pada semapt kesasar wktu pkek google maps kwkwk,negatif,-1
unjung buang sampah sembarang bersih pegawai,negatif,-1
tempat kotor wajar sepi,negatif,-1
pantai ombak sahabat cocok anak hutan cemara udang lestari banget jamin panas deh,positif,1
pantai bagus rindang cemara udang khas bak pantai yogyakarta destinasi wisata bagus madura pantai madura pantai lombang harap perintah kabupaten kelola,positif,1
pantai lombang letak sumenep pulau madura timur kali pantai lombang muas keliling pohon cemara pasir putih lembut suka spot foto pohon cemara,positif,1
pantai nya bersih bagus kunjung wisatawan pulau pantai silah libur pantai lembang,positif,1
akses jalan lokasi baik jelek,negatif,-1
pantai bersih pasir lembut bejemur badan,positif,1
pantai bersih puas,positif,1
pasir sampah,negatif,-1
cocok libur keluarga murah meriahsuasana tenang indahada pohon cemara sejuk mata,positif,1
pantai lombangternyata tutup haduh eman,negatif,-1
nyaman tadabur alam pantai luas pasir putih halus,positif,1
pantai cemara udang indah nyaman susur pantai kuda air degan hijau hapus dahaga,positif,1
bersih pasir putihnyasalah pantai patut dikunjungiterlebih sedia fasilitas dukung mumpuni,positif,1
salah destinasi wisata pantai kabupaten sumenep butuh menit kota sumenep pantai spesial pohon cemara tumbuh garis pantai,positif,1
jalan masuk tolong baik yad toilet sulit cari toilet pas sore,negatif,-1
pantai indah pasir coklat emas rindang pohon cemara,positif,1
pantai bersih cocok santai kuda tepi pantai,positif,1
pasir putih halus pohon cemara udang rindang pantai lombang pas libur ajar,positif,1
salah pantai keren sumenep madura pantai lombang identik ribu hampar cemara udang pinggir pantai unjung teduh kalah indah pasir putih halus pantai rekomended mandi ombak gelombang tenang,positif,1
salah destinasi wisata pantai pulau madura tumbuh tanam cemara udang,positif,1
wao aku anak milenial singgah tempat keren habis kece trendy spot ftonyabanyak murni alam bersih tarik so wisatawan mampir menu makan dagang kaki jarak hitung surabaya,positif,1
biasaa kereeennnn pasir putih lembut bangeettt pandang sungguh sejuk mata,positif,1
